DayID,PeriodID,SeatNum,actual_user_id
1,5,24,orangemonkey
1,5,2,yellowowl
1,5,3,violetmouse
1,5,4,violetmonkey
1,5,6,greenmouse
1,5,9,greenlion
1,5,10,violetlion
1,5,11,greenotter
1,5,23,orangelion
1,5,13,violetotter
1,5,14,orangeotter
1,5,15,greenowl
1,5,16,greenmonkey
1,5,17,yellowotter
1,5,18,yellowmouse
1,5,19,orangemouse
1,5,20,yellowmonkey
2,5,1,orangemonkey
2,5,2,yellowowl
2,5,4,violetmonkey
2,5,6,greenmouse
2,5,9,greenlion
2,5,10,violetlion
2,5,11,greenotter
2,5,12,orangelion
2,5,13,violetotter
2,5,14,orangeotter
2,5,23,greenowl
2,5,18,yellowmouse
2,5,19,orangemouse
2,5,20,yellowmonkey
3,5,1,orangemonkey
3,5,21,yellowowl
3,5,23,violetmouse
3,5,4,violetmonkey
3,5,6,greenmouse
3,5,9,greenlion
3,5,10,violetlion
3,5,11,greenotter
3,5,12,orangelion
3,5,13,violetotter
3,5,14,orangeotter
3,5,15,greenowl
3,5,16,greenmonkey
3,5,17,yellowotter
3,5,18,yellowmouse
3,5,19,orangemouse
3,5,20,yellowmonkey
1,1,3,greenalpaca
1,1,4,orangeant
1,1,6,greenant
1,1,21,violetant
1,1,12,greenbat
1,1,10,violetbat
1,1,24,orangebat
1,1,22,violetbear
1,1,25,orangebear
1,1,23,greenbear
1,1,19,violetalpaca
1,1,18,orangealpaca
1,1,20,yellowbee
2,1,3,greenalpaca
2,1,4,orangeant
2,1,21,greenant
2,1,10,violetbat
2,1,12,yellowbat
2,1,13,orangebat
2,1,14,violetbear
2,1,16,orangebear
2,1,23,greenbear
2,1,17,yellowant
2,1,19,violetalpaca
2,1,18,orangealpaca
2,1,20,yellowbee
3,1,3,greenalpaca
3,1,4,orangeant
3,1,6,violetant
3,1,10,violetbat
3,1,11,yellowalpaca
3,1,12,yellowbat
3,1,13,orangebat
3,1,14,violetbear
3,1,15,orangebear
3,1,16,greenbear
3,1,17,yellowant
3,1,23,orangealpaca
3,1,20,yellowbee
1,2,3,yellowdeer
1,2,4,violetcat
1,2,5,orangebison
1,2,7,orangecat
1,2,8,violetbird
1,2,9,orangebee
1,2,11,yellowbird
1,2,14,violetbee
1,2,15,orangebird
1,2,16,violetbison
1,2,17,greenbison
1,2,18,violetdeer
1,2,19,greenbird
1,2,20,greencat
2,2,3,yellowdeer
2,2,5,orangebison
2,2,7,orangecat
2,2,8,violetbird
2,2,9,orangebee
2,2,11,yellowbird
2,2,12,yellowcat
2,2,14,violetbee
2,2,15,orangebird
2,2,16,violetbison
2,2,17,greenbison
2,2,18,violetdeer
2,2,19,greenbird
2,2,20,greencat
3,2,2,yellowbison
3,2,3,yellowdeer
3,2,4,violetcat
3,2,5,orangebison
3,2,23,orangecat
3,2,12,yellowcat
3,2,14,violetbee
3,2,15,orangebird
3,2,16,violetbison
3,2,25,greenbison
3,2,18,violetdeer
3,2,21,greenbird
3,2,20,greencat
1,3,1,violetdog
1,3,2,greeneagle
1,3,3,greendog
1,3,5,greenduck
1,3,7,orangedragon
1,3,8,yellowdog
1,3,10,orangedog
1,3,13,violetdragon
1,3,14,yelloweagle
1,3,17,yellowdragon
1,3,18,yellowduck
1,3,20,orangeowl
1,3,22,greendeer
1,3,25,orangeduck
1,3,19,orangeeagle
1,3,23,violetduck
2,3,1,violetdog
2,3,3,greendog
2,3,5,greenduck
2,3,6,violeteagle
2,3,12,orangedragon
2,3,8,yellowdog
2,3,13,violetdragon
2,3,14,yelloweagle
2,3,17,yellowdragon
2,3,18,yellowduck
2,3,20,orangeowl
2,3,22,greendeer
2,3,25,orangeduck
2,3,23,violetduck
3,3,1,violetdog
3,3,3,greendog
3,3,21,violeteagle
3,3,4,orangedragon
3,3,8,yellowdog
3,3,10,orangedog
3,3,13,violetdragon
3,3,14,yelloweagle
3,3,17,yellowdragon
3,3,18,yellowduck
3,3,20,orangeowl
3,3,25,orangeduck
3,3,19,orangeeagle
3,3,23,violetduck
1,4,3,greenkoala
1,4,23,greengoose
1,4,6,orangefish
1,4,7,greenfox
1,4,25,orangehorse
1,4,9,yellowfish
1,4,10,violetfox
1,4,11,yellowfox
1,4,12,violetfish
1,4,1,violetgoose
1,4,14,orangegoose
1,4,15,orangefox
1,4,16,yellowkoala
1,4,17,violethorse
1,4,18,orangekoala
1,4,20,greenfish
2,4,2,violetkoala
2,4,3,greenkoala
2,4,4,greengoose
2,4,21,greenhorse
2,4,6,orangefish
2,4,25,greenfox
2,4,23,orangehorse
2,4,9,yellowfish
2,4,10,violetfox
2,4,11,yellowfox
2,4,12,violetfish
2,4,1,violetgoose
2,4,14,orangegoose
2,4,15,orangefox
2,4,16,yellowkoala
2,4,17,violethorse
2,4,19,yellowlion
2,4,20,greenfish
2,4,29,yellowhorse
3,4,2,violetkoala
3,4,23,greengoose
3,4,5,greenhorse
3,4,6,orangefish
3,4,7,greenfox
3,4,8,orangehorse
3,4,10,violetfox
3,4,11,yellowfox
3,4,12,violetfish
3,4,13,violetgoose
3,4,25,orangefox
3,4,16,yellowkoala
3,4,17,violethorse
3,4,18,orangekoala
3,4,19,yellowlion
3,4,20,greenfish
